다라, 56, 167
마바, 71, 186
나사, 63, 193
나사, 80, 140
사라, 95, 177
마바, 73, 165
라사, 45, 180
마마, 92, 189
바나, 70, 184
마다, 67, 194
가사, 61, 165
라바, 79, 189
다라, 51, 151
가바, 52, 179
가나, 76, 198
라바, 99, 156
바마, 92, 175
라사, 54, 199
마마, 54, 154
나다, 45, 147
사마, 95, 190
마다, 98, 197
사나, 52, 180
사라, 46, 185
가라, 83, 141
바마, 91, 156
다라, 52, 169
나마, 84, 147
마사, 44, 190
바마, 80, 194
가가, 82, 167
나라, 72, 196
사마, 64, 192
가라, 49, 164
마다, 54, 191
나라, 61, 175
가마, 85, 151
바라, 70, 156
다다, 87, 194
나가, 43, 150
나사, 48, 148
라사, 44, 177
사바, 77, 154
바사, 68, 158
가라, 46, 172
사가, 67, 152
마사, 94, 152
가나, 45, 145
다마, 95, 185
사다, 61, 173
나마, 79, 173
바사, 60, 199
나라, 42, 196
사마, 42, 157
사나, 96, 196
라바, 97, 186
바마, 62, 178
바다, 85, 144
바사, 41, 153
마나, 81, 156
가나, 79, 192
사나, 51, 158
나마, 92, 172
마라, 55, 191
다다, 48, 147
나라, 65, 166
마라, 95, 172
마나, 40, 196
마사, 61, 184
가다, 69, 152
사마, 86, 153
마나, 41, 195
마나, 74, 187
다사, 90, 153
가바, 95, 171
가가, 75, 181
마나, 83, 167
사사, 81, 148
바라, 44, 172
라나, 82, 190
마마, 51, 140
나사, 44, 156
다마, 40, 174
다마, 96, 177
바가, 86, 164
가라, 93, 159
가라, 45, 177
나나, 76, 148
가사, 57, 192
다나, 91, 185
가마, 75, 156
사가, 56, 188
나바, 89, 151
다가, 81, 149
가마, 56, 189
나나, 79, 141
가라, 81, 158
가다, 87, 140
마마, 67, 189
라마, 99, 182
다가, 42, 191
마사, 41, 193
다사, 77, 183
다가, 57, 191
마나, 91, 153
마마, 64, 144
라바, 84, 199
마사, 96, 151
가라, 47, 163
사라, 94, 148
가나, 56, 143
다라, 78, 154
가마, 78, 154
사사, 41, 169
바나, 62, 144
라바, 59, 181
다다, 46, 158
라라, 83, 149
다나, 51, 194
라라, 73, 141
